Date,Adj Close,Open,High,Low,Change %
12-May-16,109.03,108.42,109.41,108.22,0.56%
13-May-16,108.61,109.02,109.5,108.52,-0.39%
16-May-16,109.03,108.56,109.11,108.44,0.39%
17-May-16,109.14,109.03,109.66,108.83,0.10%
18-May-16,110.19,109.14,110.27,108.72,0.96%
19-May-16,109.97,110.19,110.39,109.69,-0.20%
20-May-16,110.15,109.96,110.59,109.84,0.16%
23-May-16,109.23,110.09,110.25,109.09,-0.84%
24-May-16,109.99,109.23,110.12,109.15,0.70%
25-May-16,110.19,110,110.47,109.86,0.18%
26-May-16,109.77,110.19,110.25,109.39,-0.38%
27-May-16,110.23,109.77,110.47,109.47,0.42%
30-May-16,111.13,110.42,111.45,110.31,0.82%
31-May-16,110.71,111.13,111.37,110.51,-0.38%
1-Jun-16,109.53,110.69,110.83,109.05,-1.07%
2-Jun-16,108.86,109.53,109.59,108.5,-0.61%
3-Jun-16,106.53,108.88,109.14,106.5,-2.14%
6-Jun-16,107.56,106.44,107.66,106.36,0.97%
7-Jun-16,107.36,107.58,107.92,107.17,-0.19%
8-Jun-16,106.98,107.34,107.39,106.58,-0.35%
9-Jun-16,107.09,106.97,107.19,106.25,0.10%
10-Jun-16,106.98,107.08,107.28,106.56,-0.10%
13-Jun-16,106.25,106.92,106.92,105.73,-0.68%
14-Jun-16,106.11,106.27,106.42,105.61,-0.13%
15-Jun-16,106.02,106.11,106.39,105.47,-0.08%
16-Jun-16,104.25,106,106.03,103.58,-1.67%
17-Jun-16,104.12,104.28,104.84,104.09,-0.12%
20-Jun-16,103.94,104.34,104.86,103.78,-0.17%
21-Jun-16,104.75,103.94,105.06,103.58,0.78%
22-Jun-16,104.41,104.75,104.86,104.31,-0.32%
23-Jun-16,106.16,104.42,106.19,104.11,1.68%
24-Jun-16,102.23,106.17,106.85,99.12,-3.70%
27-Jun-16,102,102.11,102.47,101.39,-0.22%
28-Jun-16,102.76,102,102.85,101.54,0.75%
29-Jun-16,102.83,102.77,102.95,102.17,0.07%
30-Jun-16,103.29,102.84,103.33,102.36,0.45%
1-Jul-16,102.53,103.27,103.41,102.42,-0.74%
4-Jul-16,102.56,102.53,102.81,102.42,0.03%
5-Jul-16,101.72,102.58,102.61,101.45,-0.82%
6-Jul-16,101.33,101.73,101.78,100.19,-0.38%
7-Jul-16,100.78,101.34,101.44,100.61,-0.54%
8-Jul-16,100.55,100.78,101.25,100.03,-0.23%
11-Jul-16,102.81,100.44,102.91,100.44,2.25%
12-Jul-16,104.69,102.8,104.97,102.42,1.83%
13-Jul-16,104.5,104.69,104.89,103.91,-0.18%
14-Jul-16,105.34,104.5,105.95,104,0.80%
15-Jul-16,104.84,105.34,106.31,104.64,-0.47%
18-Jul-16,106.16,105.13,106.26,105.05,1.26%
19-Jul-16,106.12,106.16,106.53,105.64,-0.04%
20-Jul-16,106.84,106.14,107.03,105.83,0.68%
21-Jul-16,105.81,106.86,107.48,105.42,-0.96%
22-Jul-16,106.08,105.81,106.39,105.56,0.26%
25-Jul-16,105.78,106.22,106.73,105.73,-0.28%
26-Jul-16,104.66,105.81,105.89,104,-1.06%
27-Jul-16,105.4,104.65,106.54,104.61,0.71%
28-Jul-16,105.27,105.41,105.53,104.53,-0.12%
